selection_criterion,twonn_metric,external_metric,spearman_corr
best_by_level_weighted_f1,twonn_space,dendrogram_purity,0.13198651189161764
best_by_level_weighted_f1,twonn_umap,level_f1_depth_5,0.12825451701856194
best_by_level_weighted_f1,twonn_raw,level_f1_depth_5,0.12558432302915581
best_by_level_weighted_f1,twonn_space,precision,0.10700963862612276
best_by_level_weighted_f1,twonn_umap,level_f1_depth_3,0.10698440136642383
best_by_level_weighted_f1,twonn_pca,level_f1_depth_3,0.10528684236506865
best_by_level_weighted_f1,twonn_space,level_f1_depth_4,0.10356300916117095
best_by_level_weighted_f1,twonn_space,level_f1_depth_2,0.09901226462952462
best_by_level_weighted_f1,twonn_raw,level_f1_depth_3,0.09664106108103006
best_by_level_weighted_f1,twonn_space,level_f1_depth_5,0.09113425442392048
best_by_level_weighted_f1,twonn_umap,f0.5-score,0.07817426019673211
best_by_level_weighted_f1,twonn_space,level_f1_depth_3,0.06321804780519828
best_by_level_weighted_f1,twonn_space,f0.5-score,0.04846169914356479
best_by_level_weighted_f1,twonn_umap,precision,0.03390542042227435
best_by_level_weighted_f1,twonn_umap,level_macro_f1,-0.24838457422727087
best_by_level_weighted_f1,twonn_space,level_macro_f1,-0.2646892065291993
best_by_level_weighted_f1,twonn_space,level_lower_macro_f1,-0.30621288532123775
best_by_level_weighted_f1,twonn_umap,level_lower_macro_f1,-0.3198007984524838
best_by_level_weighted_f1,twonn_pca,level_macro_f1,-0.34047983849400304
best_by_level_weighted_f1,twonn_raw,level_macro_f1,-0.34388519704468057
best_by_level_weighted_f1,twonn_umap,level_weighted_f1,-0.36128740173683993
best_by_level_weighted_f1,twonn_space,level_weighted_f1,-0.3704604458237593
best_by_level_weighted_f1,twonn_space,level_f1_depth_6,-0.4723373818155693
best_by_level_weighted_f1,twonn_pca,level_lower_macro_f1,-0.4824337403891952
best_by_level_weighted_f1,twonn_pca,level_weighted_f1,-0.4913385977036537
best_by_level_weighted_f1,twonn_raw,level_lower_macro_f1,-0.49595996321279895
best_by_level_weighted_f1,twonn_raw,level_weighted_f1,-0.5077334934967823
